Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
79,CUST079,Male,34,Beauty,1,300,300
80,CUST080,Female,64,Clothing,2,30,60
81,CUST081,Male,40,Electronics,1,50,50
82,CUST082,Female,32,Beauty,4,50,200
83,CUST083,Male,54,Electronics,2,50,100
84,CUST084,Female,38,Electronics,3,30,90
85,CUST085,Male,31,Clothing,3,50,150
86,CUST086,Male,19,Beauty,3,30,90
87,CUST087,Female,28,Beauty,2,50,100
88,CUST088,Male,56,Clothing,1,500,500
89,CUST089,Female,55,Electronics,4,500,2000
90,CUST090,Female,51,Electronics,1,30,30
91,CUST091,Female,55,Electronics,1,500,500
92,CUST092,Female,51,Electronics,4,30,120
93,CUST093,Female,35,Beauty,4,500,2000
94,CUST094,Female,47,Beauty,2,500,1000
95,CUST095,Female,32,Clothing,2,30,60
96,CUST096,Female,44,Clothing,2,300,600
97,CUST097,Female,51,Beauty,2,500,1000
98,CUST098,Female,55,Beauty,2,50,100
99,CUST099,Female,50,Electronics,4,300,1200
100,CUST100,Male,41,Electronics,1,30,30
101,CUST101,Male,32,Clothing,2,300,600
102,CUST102,Female,47,Beauty,2,25,50
103,CUST103,Female,59,Clothing,1,25,25
104,CUST104,Female,34,Beauty,2,500,1000
105,CUST105,Female,22,Electronics,1,500,500
106,CUST106,Female,46,Clothing,1,50,50
107,CUST107,Female,21,Clothing,4,300,1200
108,CUST108,Female,27,Beauty,3,25,75
109,CUST109,Female,34,Electronics,4,500,2000
110,CUST110,Male,27,Clothing,3,300,900
111,CUST111,Female,34,Electronics,3,500,1500
112,CUST112,Male,37,Clothing,3,500,1500
113,CUST113,Female,41,Electronics,2,25,50
114,CUST114,Female,22,Beauty,4,25,100
115,CUST115,Male,51,Clothing,3,500,1500
116,CUST116,Female,23,Clothing,1,30,30
117,CUST117,Male,19,Electronics,2,500,1000
118,CUST118,Female,30,Electronics,4,500,2000
119,CUST119,Female,60,Clothing,3,50,150
120,CUST120,Male,60,Beauty,1,50,50
121,CUST121,Female,28,Electronics,4,50,200
122,CUST122,Male,64,Electronics,4,30,120
123,CUST123,Female,40,Electronics,2,30,60
124,CUST124,Male,33,Clothing,4,500,2000
125,CUST125,Male,48,Clothing,2,50,100
126,CUST126,Female,28,Clothing,3,30,90
127,CUST127,Female,33,Clothing,2,25,50
128,CUST128,Male,25,Beauty,1,500,500
129,CUST129,Female,21,Beauty,2,300,600
130,CUST130,Female,57,Clothing,1,500,500
131,CUST131,Female,21,Beauty,2,300,600
132,CUST132,Male,42,Electronics,4,50,200
133,CUST133,Male,20,Electronics,3,300,900
134,CUST134,Male,49,Electronics,1,50,50
135,CUST135,Male,20,Clothing,2,25,50
136,CUST136,Male,44,Electronics,2,300,600
137,CUST137,Male,46,Beauty,2,500,1000
138,CUST138,Male,49,Clothing,4,50,200
139,CUST139,Male,36,Beauty,4,500,2000
140,CUST140,Male,38,Electronics,1,30,30
141,CUST141,Female,22,Electronics,1,50,50
142,CUST142,Male,35,Electronics,4,300,1200
143,CUST143,Female,45,Clothing,1,50,50
144,CUST144,Female,59,Beauty,3,500,1500
145,CUST145,Female,39,Clothing,3,25,75
146,CUST146,Male,38,Clothing,4,50,200
147,CUST147,Male,23,Electronics,1,300,300
148,CUST148,Male,18,Clothing,2,30,60
149,CUST149,Male,22,Clothing,3,25,75
150,CUST150,Female,58,Electronics,4,30,120
151,CUST151,Male,29,Clothing,1,50,50
152,CUST152,Male,43,Electronics,4,500,2000
153,CUST153,Male,63,Electronics,2,500,1000
154,CUST154,Male,51,Electronics,3,300,900
155,CUST155,Male,31,Electronics,4,500,2000
156,CUST156,Female,43,Clothing,4,25,100
157,CUST157,Male,62,Electronics,4,500,2000
158,CUST158,Female,44,Electronics,2,300,600
159,CUST159,Male,26,Clothing,4,50,200
160,CUST160,Female,43,Clothing,2,50,100
161,CUST161,Male,64,Beauty,2,500,1000
162,CUST162,Male,39,Clothing,2,30,60
163,CUST163,Female,64,Clothing,3,50,150
164,CUST164,Female,47,Beauty,3,500,1500
165,CUST165,Female,60,Clothing,4,300,1200
166,CUST166,Male,34,Clothing,4,500,2000
167,CUST167,Female,43,Clothing,3,50,150
168,CUST168,Male,53,Clothing,1,300,300
169,CUST169,Male,18,Beauty,3,500,1500
170,CUST170,Female,25,Clothing,2,25,50
171,CUST171,Female,52,Clothing,3,300,900
172,CUST172,Male,32,Beauty,2,25,50
173,CUST173,Male,64,Electronics,4,30,120
174,CUST174,Female,39,Beauty,1,300,300
175,CUST175,Female,31,Electronics,4,25,100
176,CUST176,Female,43,Beauty,2,50,100
177,CUST177,Male,45,Beauty,2,50,100
178,CUST178,Male,40,Clothing,2,30,60
179,CUST179,Male,31,Electronics,1,300,300
180,CUST180,Male,41,Clothing,3,300,900
181,CUST181,Male,19,Electronics,4,300,1200
182,CUST182,Male,62,Beauty,4,30,120
183,CUST183,Female,43,Beauty,3,300,900
184,CUST184,Male,31,Electronics,4,50,200
185,CUST185,Male,24,Clothing,1,25,25
186,CUST186,Male,20,Clothing,4,50,200
187,CUST187,Female,64,Clothing,2,50,100
188,CUST188,Male,40,Clothing,3,25,75
189,CUST189,Male,63,Beauty,1,50,50
190,CUST190,Female,60,Beauty,3,30,90
191,CUST191,Male,64,Beauty,1,25,25
192,CUST192,Male,62,Beauty,2,50,100
193,CUST193,Male,35,Beauty,3,500,1500
194,CUST194,Male,55,Clothing,4,50,200
195,CUST195,Male,52,Clothing,1,30,30
196,CUST196,Female,32,Clothing,3,300,900
197,CUST197,Female,42,Clothing,4,50,200
198,CUST198,Female,54,Beauty,3,300,900
199,CUST199,Male,45,Beauty,3,500,1500
200,CUST200,Male,27,Beauty,3,50,150
201,CUST201,Male,56,Electronics,1,25,25
202,CUST202,Female,34,Clothing,4,300,1200
203,CUST203,Male,56,Clothing,2,500,1000
204,CUST204,Male,39,Beauty,1,25,25
205,CUST205,Female,43,Clothing,1,25,25
206,CUST206,Male,61,Clothing,1,25,25
207,CUST207,Female,42,Beauty,2,25,50
208,CUST208,Female,34,Electronics,4,50,200
209,CUST209,Female,30,Electronics,4,50,200
210,CUST210,Male,37,Electronics,4,50,200
211,CUST211,Male,42,Beauty,3,500,1500
212,CUST212,Male,21,Clothing,3,500,1500
213,CUST213,Male,27,Beauty,3,500,1500
214,CUST214,Male,20,Beauty,2,30,60
215,CUST215,Male,58,Clothing,3,500,1500
216,CUST216,Male,62,Electronics,2,50,100
217,CUST217,Female,35,Electronics,4,50,200
218,CUST218,Male,64,Beauty,3,30,90
219,CUST219,Female,53,Electronics,3,30,90
220,CUST220,Male,64,Beauty,1,500,500
221,CUST221,Male,39,Beauty,2,300,600
222,CUST222,Male,51,Clothing,4,30,120
223,CUST223,Female,64,Clothing,1,25,25
224,CUST224,Female,25,Clothing,1,50,50
225,CUST225,Female,57,Beauty,4,25,100
226,CUST226,Female,61,Clothing,1,50,50
227,CUST227,Male,36,Electronics,2,50,100
228,CUST228,Female,59,Electronics,2,30,60
229,CUST229,Male,58,Beauty,3,30,90
230,CUST230,Male,54,Beauty,1,25,25
231,CUST231,Female,23,Clothing,3,50,150
232,CUST232,Female,43,Beauty,1,25,25
233,CUST233,Female,51,Beauty,2,300,600
234,CUST234,Female,62,Electronics,2,25,50
235,CUST235,Female,23,Electronics,2,500,1000
236,CUST236,Female,54,Clothing,1,25,25
237,CUST237,Female,50,Beauty,2,500,1000
238,CUST238,Female,39,Beauty,1,500,500
239,CUST239,Male,38,Electronics,3,500,1500
240,CUST240,Female,23,Beauty,1,300,300
241,CUST241,Female,23,Electronics,3,25,75
242,CUST242,Male,21,Clothing,1,25,25
243,CUST243,Female,47,Electronics,3,300,900
244,CUST244,Male,28,Beauty,2,50,100
245,CUST245,Male,47,Clothing,3,30,90
246,CUST246,Female,48,Electronics,2,25,50
247,CUST247,Male,41,Electronics,2,30,60
248,CUST248,Male,26,Clothing,3,300,900
249,CUST249,Male,20,Clothing,1,50,50
250,CUST250,Male,48,Electronics,1,50,50
251,CUST251,Female,57,Beauty,4,50,200
252,CUST252,Male,54,Electronics,1,300,300
253,CUST253,Female,53,Clothing,4,500,2000
254,CUST254,Male,41,Electronics,1,500,500
255,CUST255,Male,48,Clothing,1,30,30
256,CUST256,Male,23,Clothing,2,500,1000
257,CUST257,Male,19,Beauty,4,500,2000
258,CUST258,Female,37,Clothing,1,50,50
259,CUST259,Female,45,Clothing,4,50,200
260,CUST260,Male,28,Beauty,2,30,60
261,CUST261,Male,21,Clothing,2,25,50
262,CUST262,Female,32,Beauty,4,30,120
263,CUST263,Male,23,Beauty,2,30,60
264,CUST264,Male,47,Clothing,3,300,900
265,CUST265,Male,55,Clothing,3,300,900
266,CUST266,Female,19,Electronics,2,30,60
267,CUST267,Female,32,Beauty,3,30,90
268,CUST268,Female,28,Electronics,1,30,30
269,CUST269,Male,25,Clothing,4,500,2000
270,CUST270,Male,43,Electronics,1,300,300
271,CUST271,Female,62,Beauty,4,30,120
272,CUST272,Female,61,Electronics,2,50,100
273,CUST273,Female,22,Beauty,1,50,50
274,CUST274,Female,23,Clothing,2,500,1000
275,CUST275,Male,43,Clothing,2,500,1000
276,CUST276,Female,21,Beauty,4,25,100
277,CUST277,Male,36,Clothing,4,25,100
278,CUST278,Female,37,Clothing,4,25,100
279,CUST279,Male,50,Clothing,1,500,500
280,CUST280,Female,37,Clothing,3,500,1500
281,CUST281,Female,29,Beauty,4,500,2000
282,CUST282,Female,64,Electronics,4,50,200
283,CUST283,Female,18,Electronics,1,500,500
284,CUST284,Male,43,Clothing,4,50,200
285,CUST285,Female,31,Electronics,1,25,25
286,CUST286,Male,55,Electronics,2,25,50
287,CUST287,Male,54,Clothing,4,25,100
288,CUST288,Male,28,Clothing,4,30,120
289,CUST289,Male,53,Electronics,2,30,60
290,CUST290,Female,30,Beauty,2,300,600
291,CUST291,Male,60,Clothing,2,300,600
292,CUST292,Male,20,Beauty,4,300,1200
293,CUST293,Male,50,Electronics,3,30,90
294,CUST294,Female,23,Clothing,3,30,90
295,CUST295,Female,27,Beauty,3,300,900
296,CUST296,Female,22,Clothing,4,300,1200
297,CUST297,Female,40,Electronics,2,500,1000
298,CUST298,Male,27,Beauty,4,300,1200
299,CUST299,Male,61,Electronics,2,500,1000
300,CUST300,Female,19,Electronics,4,50,200
301,CUST301,Male,30,Clothing,4,30,120
302,CUST302,Male,57,Beauty,2,300,600
303,CUST303,Male,19,Electronics,3,30,90
304,CUST304,Female,37,Electronics,2,30,60
305,CUST305,Female,18,Beauty,1,30,30
306,CUST306,Male,54,Electronics,1,50,50
307,CUST307,Female,26,Electronics,2,25,50
308,CUST308,Female,34,Beauty,4,300,1200
309,CUST309,Female,26,Beauty,1,25,25
310,CUST310,Female,28,Beauty,1,25,25
311,CUST311,Female,32,Beauty,4,25,100
312,CUST312,Male,41,Clothing,4,30,120
313,CUST313,Female,55,Beauty,3,500,1500
314,CUST314,Male,52,Clothing,4,30,120
315,CUST315,Male,47,Clothing,2,30,60
316,CUST316,Female,48,Clothing,2,25,50
317,CUST317,Male,22,Electronics,3,30,90
318,CUST318,Male,61,Clothing,1,25,25
319,CUST319,Male,31,Clothing,1,500,500
320,CUST320,Female,28,Electronics,4,300,1200
321,CUST321,Female,26,Electronics,2,25,50
322,CUST322,Male,51,Electronics,1,500,500
323,CUST323,Female,29,Beauty,3,300,900
324,CUST324,Female,52,Electronics,3,50,150
325,CUST325,Female,52,Electronics,2,25,50
326,CUST326,Female,18,Clothing,3,25,75
327,CUST327,Male,57,Electronics,3,50,150
328,CUST328,Male,39,Beauty,2,50,100
329,CUST329,Female,46,Electronics,4,25,100
330,CUST330,Female,25,Beauty,4,50,200
331,CUST331,Male,28,Electronics,3,30,90
332,CUST332,Male,58,Electronics,4,300,1200
333,CUST333,Female,54,Electronics,4,300,1200
334,CUST334,Male,31,Electronics,3,300,900
335,CUST335,Female,47,Beauty,4,30,120
336,CUST336,Female,52,Beauty,3,50,150
337,CUST337,Male,38,Clothing,1,500,500
338,CUST338,Male,54,Beauty,2,50,100
339,CUST339,Female,22,Electronics,2,25,50
340,CUST340,Female,36,Clothing,4,300,1200
341,CUST341,Male,31,Clothing,4,50,200
342,CUST342,Female,43,Clothing,4,500,2000
343,CUST343,Male,21,Electronics,2,25,50
344,CUST344,Female,42,Beauty,1,30,30
345,CUST345,Male,62,Electronics,1,30,30
346,CUST346,Male,59,Clothing,2,500,1000
347,CUST347,Male,42,Electronics,1,25,25
348,CUST348,Female,35,Electronics,2,300,600
349,CUST349,Female,57,Beauty,1,50,50
350,CUST350,Male,25,Beauty,3,25,75
351,CUST351,Female,56,Clothing,3,30,90
352,CUST352,Male,57,Electronics,2,500,1000
353,CUST353,Male,31,Electronics,1,500,500
354,CUST354,Female,49,Beauty,4,50,200
355,CUST355,Female,55,Electronics,1,500,500
356,CUST356,Male,50,Electronics,3,500,1500
357,CUST357,Female,40,Electronics,3,25,75
358,CUST358,Female,32,Beauty,1,300,300
359,CUST359,Male,50,Clothing,1,50,50
360,CUST360,Male,42,Clothing,4,25,100
361,CUST361,Female,34,Electronics,4,300,1200
362,CUST362,Male,50,Clothing,1,25,25
363,CUST363,Male,64,Beauty,1,25,25
364,CUST364,Female,19,Beauty,1,500,500
365,CUST365,Male,31,Clothing,1,300,300
366,CUST366,Male,57,Clothing,2,50,100
367,CUST367,Female,57,Electronics,1,50,50
368,CUST368,Female,56,Clothing,4,300,1200
369,CUST369,Male,23,Electronics,3,500,1500
370,CUST370,Male,23,Electronics,2,30,60
371,CUST371,Female,20,Beauty,1,25,25
372,CUST372,Female,24,Beauty,3,500,1500
373,CUST373,Female,25,Beauty,2,300,600
374,CUST374,Female,59,Beauty,3,25,75
375,CUST375,Male,32,Clothing,1,50,50
376,CUST376,Female,64,Beauty,1,30,30
377,CUST377,Female,46,Clothing,4,50,200
378,CUST378,Male,50,Beauty,1,300,300
379,CUST379,Female,47,Clothing,1,25,25
380,CUST380,Male,56,Electronics,2,300,600
381,CUST381,Female,44,Clothing,4,25,100
382,CUST382,Female,53,Clothing,2,500,1000
383,CUST383,Female,46,Beauty,3,30,90
384,CUST384,Male,55,Clothing,1,500,500
385,CUST385,Male,50,Electronics,3,500,1500
386,CUST386,Female,54,Electronics,2,300,600
387,CUST387,Male,44,Beauty,1,30,30
388,CUST388,Male,50,Electronics,1,25,25
389,CUST389,Male,21,Clothing,2,25,50
390,CUST390,Male,39,Electronics,2,50,100
391,CUST391,Male,19,Beauty,2,25,50
392,CUST392,Male,27,Clothing,2,300,600
393,CUST393,Female,22,Beauty,2,500,1000
394,CUST394,Female,27,Clothing,1,500,500
395,CUST395,Male,50,Electronics,2,500,1000
396,CUST396,Female,55,Beauty,1,30,30
397,CUST397,Female,30,Beauty,1,25,25
398,CUST398,Female,48,Clothing,2,300,600
399,CUST399,Female,64,Beauty,2,30,60
400,CUST400,Male,53,Clothing,4,50,200
401,CUST401,Female,62,Clothing,1,300,300
402,CUST402,Female,41,Clothing,2,300,600
403,CUST403,Male,32,Clothing,2,300,600
404,CUST404,Male,46,Electronics,2,500,1000
405,CUST405,Female,25,Clothing,4,300,1200
406,CUST406,Female,22,Beauty,4,25,100
407,CUST407,Female,46,Electronics,3,300,900
408,CUST408,Female,64,Beauty,1,500,500
409,CUST409,Female,21,Electronics,3,300,900
410,CUST410,Female,29,Clothing,2,50,100
411,CUST411,Male,62,Electronics,4,50,200
412,CUST412,Female,19,Electronics,4,500,2000
413,CUST413,Female,44,Beauty,3,25,75
414,CUST414,Male,48,Beauty,4,25,100
415,CUST415,Male,53,Clothing,2,30,60
416,CUST416,Male,53,Electronics,4,500,2000
417,CUST417,Male,43,Electronics,3,300,900
418,CUST418,Female,60,Electronics,2,500,1000
419,CUST419,Female,44,Clothing,3,30,90
420,CUST420,Female,22,Clothing,4,500,2000
421,CUST421,Female,37,Clothing,3,500,1500
422,CUST422,Female,28,Clothing,3,30,90
423,CUST423,Female,27,Clothing,1,25,25
424,CUST424,Male,57,Beauty,4,300,1200
425,CUST425,Female,55,Electronics,4,30,120
426,CUST426,Male,23,Electronics,3,50,150
427,CUST427,Male,25,Electronics,1,25,25
428,CUST428,Female,40,Electronics,4,50,200
429,CUST429,Male,64,Electronics,2,25,50
430,CUST430,Female,43,Electronics,3,300,900
431,CUST431,Male,63,Electronics,4,300,1200
432,CUST432,Female,60,Electronics,2,500,1000
433,CUST433,Male,29,Beauty,4,50,200
434,CUST434,Female,43,Electronics,2,25,50
435,CUST435,Female,30,Beauty,3,300,900
436,CUST436,Female,57,Clothing,4,30,120
437,CUST437,Female,35,Electronics,4,300,1200
438,CUST438,Female,42,Clothing,1,30,30
439,CUST439,Male,50,Clothing,3,25,75
440,CUST440,Male,64,Clothing,2,300,600
441,CUST441,Male,57,Beauty,4,300,1200
442,CUST442,Female,60,Clothing,4,25,100
443,CUST443,Male,29,Clothing,2,300,600
444,CUST444,Female,61,Clothing,3,30,90
445,CUST445,Female,53,Electronics,1,300,300
446,CUST446,Male,21,Electronics,1,50,50
447,CUST447,Male,22,Beauty,4,500,2000
448,CUST448,Female,54,Beauty,2,30,60
449,CUST449,Male,25,Electronics,4,50,200
450,CUST450,Female,59,Beauty,2,25,50
451,CUST451,Female,45,Electronics,1,30,30
452,CUST452,Female,48,Clothing,3,500,1500
453,CUST453,Female,26,Clothing,2,500,1000
454,CUST454,Female,46,Beauty,1,25,25
455,CUST455,Male,31,Electronics,4,25,100
456,CUST456,Male,57,Electronics,2,30,60
457,CUST457,Female,58,Beauty,3,300,900
458,CUST458,Female,39,Electronics,4,25,100
459,CUST459,Male,28,Clothing,4,300,1200
460,CUST460,Male,40,Beauty,1,50,50
461,CUST461,Female,18,Beauty,2,500,1000
462,CUST462,Male,63,Electronics,4,300,1200
463,CUST463,Female,54,Beauty,3,500,1500
464,CUST464,Male,38,Electronics,2,300,600
465,CUST465,Female,43,Electronics,3,50,150
466,CUST466,Male,63,Electronics,4,25,100
467,CUST467,Female,53,Electronics,3,50,150
468,CUST468,Male,40,Electronics,1,25,25
469,CUST469,Male,18,Beauty,3,25,75
470,CUST470,Female,57,Clothing,2,500,1000
471,CUST471,Male,32,Clothing,3,50,150
472,CUST472,Female,38,Beauty,3,300,900
473,CUST473,Male,64,Beauty,1,50,50
474,CUST474,Female,26,Clothing,3,500,1500
475,CUST475,Male,26,Clothing,3,25,75
476,CUST476,Female,27,Clothing,4,500,2000
477,CUST477,Male,43,Clothing,4,30,120
478,CUST478,Female,58,Clothing,2,30,60
479,CUST479,Male,52,Electronics,4,300,1200
480,CUST480,Female,42,Beauty,4,500,2000
481,CUST481,Female,43,Electronics,4,300,1200
482,CUST482,Female,28,Clothing,4,300,1200
483,CUST483,Male,55,Clothing,1,30,30
484,CUST484,Female,19,Clothing,4,300,1200
485,CUST485,Male,24,Electronics,1,30,30
486,CUST486,Female,35,Electronics,1,25,25
487,CUST487,Male,44,Clothing,4,500,2000
488,CUST488,Female,51,Electronics,3,300,900
489,CUST489,Male,44,Electronics,1,30,30
490,CUST490,Male,34,Clothing,3,50,150
491,CUST491,Female,60,Electronics,3,300,900
492,CUST492,Male,61,Beauty,4,25,100
493,CUST493,Male,41,Beauty,2,25,50
494,CUST494,Female,42,Beauty,4,50,200
495,CUST495,Male,24,Beauty,2,30,60
496,CUST496,Male,23,Clothing,2,300,600
497,CUST497,Male,41,Clothing,4,30,120
498,CUST498,Female,50,Clothing,4,25,100
499,CUST499,Male,46,Beauty,2,30,60
500,CUST500,Female,60,Beauty,4,25,100
501,CUST501,Male,39,Electronics,2,30,60
502,CUST502,Male,43,Electronics,3,50,150
503,CUST503,Male,45,Beauty,4,500,2000
504,CUST504,Female,38,Beauty,3,50,150
505,CUST505,Male,24,Beauty,1,50,50
506,CUST506,Male,34,Beauty,3,500,1500
507,CUST507,Female,37,Electronics,3,500,1500
508,CUST508,Male,58,Beauty,2,300,600
509,CUST509,Female,37,Electronics,3,300,900
510,CUST510,Female,39,Beauty,4,50,200
511,CUST511,Male,45,Beauty,2,50,100
512,CUST512,Female,57,Beauty,1,25,25
513,CUST513,Male,24,Electronics,4,25,100
514,CUST514,Female,18,Electronics,1,300,300
515,CUST515,Female,49,Clothing,3,300,900
516,CUST516,Male,30,Beauty,4,25,100
517,CUST517,Female,47,Clothing,4,25,100
518,CUST518,Female,40,Clothing,1,30,30
519,CUST519,Female,36,Electronics,4,30,120
520,CUST520,Female,49,Electronics,4,25,100
521,CUST521,Female,47,Clothing,4,30,120
522,CUST522,Male,46,Beauty,3,500,1500
523,CUST523,Female,62,Electronics,1,300,300
524,CUST524,Male,46,Beauty,4,300,1200
525,CUST525,Female,47,Beauty,2,25,50
526,CUST526,Male,33,Clothing,2,50,100
527,CUST527,Male,57,Clothing,2,25,50
528,CUST528,Female,36,Clothing,2,30,60
529,CUST529,Female,35,Clothing,3,50,150
530,CUST530,Female,18,Electronics,4,30,120
531,CUST531,Male,31,Electronics,1,500,500
532,CUST532,Female,64,Clothing,4,30,120
533,CUST533,Male,19,Electronics,3,500,1500
534,CUST534,Male,45,Clothing,2,500,1000
535,CUST535,Male,47,Beauty,3,30,90
536,CUST536,Female,55,Beauty,4,30,120
537,CUST537,Female,21,Beauty,1,500,500
538,CUST538,Male,18,Clothing,3,50,150
539,CUST539,Male,25,Beauty,1,500,500
540,CUST540,Female,46,Electronics,3,300,900
541,CUST541,Male,56,Beauty,1,500,500
542,CUST542,Female,20,Beauty,1,50,50
543,CUST543,Male,49,Beauty,2,300,600
544,CUST544,Female,27,Electronics,1,25,25
545,CUST545,Male,27,Clothing,2,25,50
546,CUST546,Female,36,Electronics,4,50,200
547,CUST547,Male,63,Clothing,4,500,2000
548,CUST548,Female,51,Clothing,2,30,60
549,CUST549,Female,50,Beauty,2,50,100
550,CUST550,Male,40,Clothing,3,300,900
551,CUST551,Male,45,Electronics,3,300,900
552,CUST552,Female,49,Electronics,3,25,75
553,CUST553,Male,24,Clothing,4,300,1200
554,CUST554,Female,46,Beauty,3,50,150
555,CUST555,Male,25,Beauty,1,300,300
556,CUST556,Female,18,Electronics,1,50,50
557,CUST557,Female,20,Beauty,3,30,90
558,CUST558,Female,41,Clothing,1,25,25
559,CUST559,Female,40,Clothing,4,300,1200
560,CUST560,Female,25,Electronics,1,50,50
561,CUST561,Female,64,Clothing,4,500,2000
562,CUST562,Male,54,Electronics,2,25,50
563,CUST563,Male,20,Clothing,2,30,60
564,CUST564,Male,50,Electronics,2,50,100
565,CUST565,Female,45,Beauty,2,30,60
566,CUST566,Female,64,Clothing,1,30,30
567,CUST567,Female,25,Clothing,3,300,900
568,CUST568,Female,51,Electronics,1,300,300
569,CUST569,Male,52,Electronics,4,50,200
570,CUST570,Male,49,Clothing,1,500,500
571,CUST571,Female,41,Electronics,1,50,50
572,CUST572,Male,31,Clothing,4,500,2000
573,CUST573,Male,49,Beauty,2,30,60
574,CUST574,Female,63,Electronics,2,25,50
575,CUST575,Male,60,Clothing,2,50,100
576,CUST576,Female,33,Beauty,3,50,150
577,CUST577,Male,21,Beauty,4,500,2000
578,CUST578,Female,54,Clothing,4,30,120
579,CUST579,Female,38,Electronics,1,30,30
580,CUST580,Female,31,Clothing,3,500,1500
581,CUST581,Female,48,Beauty,2,30,60
582,CUST582,Male,35,Clothing,3,300,900
583,CUST583,Female,24,Electronics,4,25,100
584,CUST584,Female,27,Beauty,4,50,200
585,CUST585,Female,24,Clothing,1,25,25
586,CUST586,Male,50,Electronics,1,50,50
587,CUST587,Female,40,Beauty,4,300,1200
588,CUST588,Male,38,Electronics,2,30,60
589,CUST589,Female,36,Beauty,2,500,1000
590,CUST590,Male,36,Clothing,3,300,900
591,CUST591,Male,53,Electronics,4,25,100
592,CUST592,Female,46,Beauty,4,500,2000
593,CUST593,Male,35,Electronics,2,30,60
594,CUST594,Female,19,Electronics,2,300,600
595,CUST595,Female,18,Clothing,4,500,2000
596,CUST596,Female,64,Electronics,1,300,300
597,CUST597,Male,22,Beauty,4,300,1200
598,CUST598,Male,37,Beauty,4,30,120
599,CUST599,Female,28,Beauty,2,50,100
